Generated from SelSteering2DScan.iob
number of ions = 1
Bender = 920V
SEL focus = -1870V
Ypos,Zpos,Sel_x,Sel_z,IonPosition
31.533333333333, 33.133333333333, 27, -27, 3.5230750617947
31.533333333333, 33.133333333333, 27, -21, 0.90003150678823
31.533333333333, 33.133333333333, 27, -15, 2.7760312573977
31.533333333333, 33.133333333333, 27, -9, 5.7750652834286
31.533333333333, 33.133333333333, 27, -3, 8.8150478536938
31.533333333333, 33.133333333333, 27, 3, 11.865398185158
31.533333333333, 33.133333333333, 27, 9, 15.920183660158
31.533333333333, 33.133333333333, 27, 15, 17.50232495115
31.533333333333, 33.133333333333, 27, 21, 17.51587968176
31.533333333333, 33.133333333333, 27, 27, 17.533332344272
31.533333333333, 33.133333333333, 27, 33, 17.550979155159
31.533333333333, 33.133333333333, 27, 39, 17.567605787122
31.533333333333, 33.133333333333, 27, 45, 17.582631453516
31.533333333333, 33.133333333333, 33, -45, 13.172983683922
31.533333333333, 33.133333333333, 33, -39, 10.301633233585
31.533333333333, 33.133333333333, 33, -33, 7.5850153310683
31.533333333333, 33.133333333333, 33, -27, 5.269175191703
31.533333333333, 33.133333333333, 33, -21, 4.0934994356302
31.533333333333, 33.133333333333, 33, -15, 4.9762329058487
31.533333333333, 33.133333333333, 33, -9, 7.176359389452
31.533333333333, 33.133333333333, 33, -3, 9.8571365113504
31.533333333333, 33.133333333333, 33, 3, 12.714156233342
31.533333333333, 33.133333333333, 33, 9, 16.746821378854
31.533333333333, 33.133333333333, 33, 15, 17.72120701413
31.533333333333, 33.133333333333, 33, 21, 17.601638446687
31.533333333333, 33.133333333333, 33, 27, 17.542542965528
31.533333333333, 33.133333333333, 33, 33, 17.51424338923
31.533333333333, 33.133333333333, 33, 39, 17.502513778036
31.533333333333, 33.133333333333, 33, 45, 17.500036612135
31.533333333333, 33.133333333333, 39, -45, 15.619863842455
31.533333333333, 33.133333333333, 39, -39, 11.974506195648
31.533333333333, 33.133333333333, 39, -33, 9.749027554052
31.533333333333, 33.133333333333, 39, -27, 8.1042993867016
31.533333333333, 33.133333333333, 39, -21, 7.4412722369024
31.533333333333, 33.133333333333, 39, -15, 8.0189364492693
31.533333333333, 33.133333333333, 39, -9, 9.5967931356469
31.533333333333, 33.133333333333, 39, -3, 11.789656825016
31.533333333333, 33.133333333333, 39, 3, 15.358717076944
31.533333333333, 33.133333333333, 39, 9, 17.919005095974
31.533333333333, 33.133333333333, 39, 15, 17.86587572432
31.533333333333, 33.133333333333, 39, 21, 17.51597678303
31.533333333333, 33.133333333333, 39, 27, 17.836886076016
31.533333333333, 33.133333333333, 39, 33, 17.705819806121
31.533333333333, 33.133333333333, 39, 39, 17.623966191088
31.533333333333, 33.133333333333, 39, 45, 17.572377682724
31.533333333333, 33.133333333333, 45, -45, 17.731760512814
31.533333333333, 33.133333333333, 45, -39, 15.418559082032
31.533333333333, 33.133333333333, 45, -33, 12.483544478743
31.533333333333, 33.133333333333, 45, -27, 11.266436930976
31.533333333333, 33.133333333333, 45, -21, 10.82869664519
31.533333333333, 33.133333333333, 45, -15, 11.26394314266
31.533333333333, 33.133333333333, 45, -9, 12.486994941712
31.533333333333, 33.133333333333, 45, -3, 15.372330414364
31.533333333333, 33.133333333333, 45, 3, 17.683699826057
31.533333333333, 33.133333333333, 45, 9, 17.477898358144
31.533333333333, 33.133333333333, 45, 15, 17.714807174313
31.533333333333, 33.133333333333, 45, 21, 17.674247724459
31.533333333333, 33.133333333333, 45, 27, 17.830648176169
