Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
33.5,37.75,0.56405340128638,13.5,18.0
33.5,38.0,0.53056633990498,15.75,24.75
33.5,38.25,0.29185060149991,18.0,27.0
33.5,38.5,0.55383934239193,20.25,27.0
33.75,31.25,0.60405889260223,13.5,-27.0
33.75,31.5,0.37023458526307,11.25,-33.75
33.75,31.75,0.69775176152293,11.25,-29.25
33.75,32.0,0.079036861912601,9.0,-24.75
33.75,32.25,0.82436908631315,6.75,-20.25
33.75,32.5,0.56692958918495,6.75,-13.5
33.75,32.75,0.56133543140689,6.75,-11.25
33.75,33.0,0.41368105818536,6.75,-6.75
33.75,33.25,0.59232295780712,4.5,-4.5
33.75,33.5,0.4888249027173,4.5,-2.25
33.75,33.75,0.48364633504729,4.5,-2.25
33.75,34.0,0.39509991288496,4.5,0.0
33.75,34.25,0.27901409075319,4.5,0.0
33.75,34.5,0.31105154942434,4.5,0.0
33.75,34.75,0.3779673511862,4.5,0.0
33.75,35.0,0.48943155048484,4.5,0.0
33.75,35.25,0.57492843058388,4.5,0.0
33.75,35.5,0.60515590870184,4.5,0.0
33.75,35.75,0.53601652751529,4.5,0.0
33.75,36.0,0.25023907707159,4.5,0.0
33.75,36.25,0.29032547942224,4.5,0.0
33.75,36.5,0.66379431172004,6.75,2.25
33.75,36.75,0.56679825470941,6.75,4.5
33.75,37.0,0.48846162415464,6.75,6.75
33.75,37.25,0.41533467206219,9.0,9.0
33.75,37.5,0.48318920910514,9.0,13.5
33.75,37.75,0.16121725711095,11.25,18.0
33.75,38.0,0.17162046993539,13.5,22.5
33.75,38.25,0.29381956386635,15.75,27.0
33.75,38.5,0.60530129414689,15.75,29.25
33.75,38.75,0.46017615181102,18.0,20.25
34.0,31.25,0.59403381376295,9.0,-29.25
34.0,31.5,0.47194521835107,9.0,-33.75
34.0,31.75,0.55666026551764,6.75,-29.25
34.0,32.0,0.51880513261492,6.75,-22.5
34.0,32.25,0.36440912728511,6.75,-18.0
34.0,32.5,0.60286494768224,6.75,-13.5
34.0,32.75,0.39280385017911,4.5,-9.0
34.0,33.0,0.33389714136464,4.5,-6.75
34.0,33.25,0.38437524300391,4.5,-4.5
34.0,33.5,0.1731974652122,4.5,-2.25
34.0,33.75,0.63316407965996,4.5,0.0
34.0,34.0,0.61577724067143,4.5,0.0
34.0,34.25,0.54751125277131,2.25,0.0
34.0,34.5,0.5223766312186,2.25,0.0
34.0,34.75,0.50846939862146,2.25,0.0
34.0,35.0,0.55686716352718,2.25,0.0
34.0,35.25,0.67263802299025,2.25,0.0
34.0,35.5,0.76394650323716,2.25,0.0
34.0,35.75,0.78871308622448,2.25,0.0
34.0,36.0,0.72630924156836,4.5,0.0
34.0,36.25,0.32375911038542,4.5,0.0
