Generated from SelSteeringTester.iob
number of ions = 1
Bender = 920V
SEL focus = -1870V
Ypos,Zpos,Sel_x,Sel_z,IonSplatPos, IonCollectorPos
31.75, 36, 29.780109309708, 5.5933274789713, 1.5824609567055, 1.5795490736118
31.75, 36.25, 31.236818131874, 7.7679926319979, 1.7595802707317, 1.7534757749871
31.75, 36.5, 32.950806567213, 10.148536463734, 2.1004318237532, 2.0879956573431
31.75, 36.75, 34.923327589757, 12.783419982996, 2.4935589345798
31.75, 37, 37.155634170398, 15.72110415902, 3.1974498405145
31.75, 37.25, 39.648979281774, 19.010050009936, 5.6244013183727
32, 32.5, 31.02712889947, -27.646056444384, 2.931713042845
32, 32.75, 29.174129950348, -23.497444353532, 1.9348963424452, 1.916121265479
32, 33, 27.538099279627, -19.828004236333, 1.5510897339255, 1.5400613056257
32, 33.25, 26.12092583999, -16.588154103141, 1.270537050876, 1.2649484689486
32, 33.5, 24.924498578301, -13.728311985731, 1.062963590862, 1.0626760223284
32, 33.75, 23.950706448872, -11.198895891663, 1.0319800390938, 1.0335004486168
32, 34, 23.201438398217, -8.9503238401376, 0.95575514998236, 0.95892262296301
32, 34.25, 22.678583380068, -6.9330138443038, 0.89180311169908, 0.89613940259402
32, 34.5, 22.384030339657, -5.0973839303479, 0.92425184518164, 0.92850871995071
32, 34.75, 22.319668227574, -3.3938521086238, 0.98352776294748, 0.98659418667738
32, 35, 22.487385999179, -1.7728363936767, 1.2304103505999, 1.2301748417234
32, 35.25, 22.889072599937, -0.1847548163496, 1.3166827222394, 1.3147436932173
32, 35.5, 23.526616981137, 1.4199746144004, 1.4971020084155, 1.4931896131306
32, 35.75, 24.401908089989, 3.0909338817, 1.6271911716194, 1.6221534233291
32, 36, 25.516834880225, 4.8777049588971, 1.7815504738036, 1.775508829028
32, 36.25, 26.873286300106, 6.8298698537983, 1.900472598329, 1.8932408872029
32, 36.5, 28.473151298473, 8.9970105155371, 1.9754606510636, 1.9672548744506
32, 36.75, 30.318318829872, 11.42870894121, 2.2018147926003, 2.1893931264441
32, 37, 32.410677837441, 14.174547128379, 2.4645145081215
32, 37.25, 34.752117279451, 17.284107030369, 2.8669694830483
32, 37.5, 37.344526098226, 20.806970652658, 3.7773915676835
32.25, 32.25, 28.822579180822, -29.59850666346, 2.5336303041395
32.25, 32.5, 26.946305725607, -25.13323537074, 1.8510881718822, 1.8362572420367
32.25, 32.75, 25.2615528733, -21.202979327645, 1.740280855682, 1.7277790193056
32.25, 33, 23.770778209204, -17.757207604591, 1.4327712590666, 1.4260449909305
32.25, 33.25, 22.476439321646, -14.745389272925, 1.2423764978806, 1.2403216483855
32.25, 33.5, 21.380993805593, -12.116993412375, 1.3661288573524, 1.3633770350907
32.25, 33.75, 20.486899245763, -9.8214890793897, 1.4622910591222, 1.4579968180253
32.25, 34, 19.796613229555, -7.8083453560248, 1.4067328175318, 1.4032293680709
32.25, 34.25, 19.312593350187, -6.0270313061774, 1.3533494283602, 1.3505401967298
32.25, 34.5, 19.037297192612, -4.427016002126, 1.3488924109948, 1.346466045175
32.25, 34.75, 18.973182348767, -2.9577685124241, 1.3752022126129, 1.372350394916
32.25, 35, 19.122706406051, -1.5687579168007, 1.5822694016154, 1.5766497577103
32.25, 35.25, 19.488326952793, -0.20945327961817, 1.6748280703031, 1.667538971307
32.25, 35.5, 20.072501579882, 1.1706763263792, 1.8763077650841, 1.8666232954818
32.25, 35.75, 20.877687874367, 2.6221618237905, 2.0308171235008, 2.0193974635483
32.25, 36, 21.906343428185, 4.1955341571011, 2.1859811887418, 2.1753652964926
32.25, 36.25, 23.160925825592, 5.9413242442533, 2.3133274355261, 2.2996578251723
32.25, 36.5, 24.643892661086, 7.9100630041212, 2.3176870625597, 2.3055149487777
32.25, 36.75, 26.357701517991, 10.152281398419, 2.2926196056908, 2.2802797669486
32.25, 37, 28.30480998999, 12.71851032041, 2.4849701069021, 2.4697375684232
32.25, 37.25, 30.487675662851, 15.659280722961, 2.7224154684956
32.25, 37.5, 32.908756126883, 19.025123515166, 2.8638731060934
32.25, 37.75, 35.570508970181, 22.866569655482, 3.5531081899829
32.5, 32, 26.922081412515, -31.956877532415, 2.4506722491694
32.5, 32.25, 25.079834939097, -27.099302545656, 1.9178420049042, 1.9032047648044
32.5, 32.5, 23.402469141176, -22.833026555367, 1.9766470646733, 1.9609272542231
